Mod:Item:MetaData, Localized Name
IC2:blockMetal:5, ic2.blockMetalAdvIron
IC2:blockCable, ic2.blockCable.name
IC2:blockKineticGenerator:0, ic2.blockWindKineticGenerator
IC2:blockKineticGenerator:1, ic2.blockSteamKineticGenerator
IC2:blockKineticGenerator:2, ic2.blockElectricKineticGenerator
IC2:blockKineticGenerator:3, ic2.blockManualKineticGenerator
IC2:blockKineticGenerator:4, ic2.blockWaterKineticGenerator
IC2:blockKineticGenerator:5, ic2.blockStirlingKineticGenerator
IC2:blockHeatGenerator:0, ic2.blockSolidHeatGenerator
IC2:blockHeatGenerator:1, ic2.blockFluidHeatGenerator
IC2:blockHeatGenerator:2, ic2.blockRTHeatGenerator
IC2:blockHeatGenerator:3, ic2.blockElectricHeatGenerator
IC2:blockGenerator:0, ic2.blockGenerator
IC2:blockGenerator:1, ic2.blockGeoGenerator
IC2:blockGenerator:2, ic2.blockWaterGenerator
IC2:blockGenerator:3, ic2.blockSolarGenerator
IC2:blockGenerator:4, ic2.blockWindGenerator
IC2:blockGenerator:5, ic2.blockNuclearReactor
IC2:blockGenerator:6, ic2.blockRTGenerator
IC2:blockGenerator:7, ic2.blockSemifluidGenerator
IC2:blockGenerator:8, ic2.blockStirlingGenerator
IC2:blockGenerator:9, ic2.blockKineticGenerator
IC2:blockReactorChamber, ic2.blockReactorChamber.name
IC2:blockReactorFluidPort, ic2.blockReactorFluidPort.name
IC2:blockReactorAccessHatch, ic2.blockReactorAccessHatch.name
IC2:blockReactorRedstonePort, ic2.blockReactorRedstonePort.name
IC2:blockreactorvessel, ic2.blockreactorvessel.name
IC2:blockElectric:3, ic2.blockTransformerLV
IC2:blockElectric:4, ic2.blockTransformerMV
IC2:blockElectric:5, ic2.blockTransformerHV
IC2:blockElectric:6, ic2.blockTransformerEV
IC2:blockElectric:0, ic2.blockBatBox
IC2:blockElectric:7, ic2.blockCESU
IC2:blockElectric:1, ic2.blockMFE
IC2:blockElectric:2, ic2.blockMFSU
IC2:blockElectric:0, ic2.blockBatBox
IC2:blockElectric:7, ic2.blockCESU
IC2:blockElectric:1, ic2.blockMFE
IC2:blockElectric:2, ic2.blockMFSU
IC2:blockChargepad:0, ic2.blockChargepadBatBox
IC2:blockChargepad:1, ic2.blockChargepadCESU
IC2:blockChargepad:2, ic2.blockChargepadMFE
IC2:blockChargepad:3, ic2.blockChargepadMFSU
IC2:blockChargepad:0, ic2.blockChargepadBatBox
IC2:blockChargepad:1, ic2.blockChargepadCESU
IC2:blockChargepad:2, ic2.blockChargepadMFE
IC2:blockChargepad:3, ic2.blockChargepadMFSU
IC2:blockMachine:0, ic2.blockMachine
IC2:blockMachine:1, ic2.blockIronFurnace
IC2:blockMachine:2, ic2.blockElecFurnace
IC2:blockMachine:3, ic2.blockMacerator
IC2:blockMachine:4, ic2.blockExtractor
IC2:blockMachine:5, ic2.blockCompressor
IC2:blockMachine:6, ic2.blockCanner
IC2:blockMachine:7, ic2.blockMiner
IC2:blockMachine:8, ic2.blockPump
IC2:blockMachine:9, ic2.blockMagnetizer
IC2:blockMachine:10, ic2.blockElectrolyzer
IC2:blockMachine:11, ic2.blockRecycler
IC2:blockMachine:12, ic2.blockAdvMachine
IC2:blockMachine:13, ic2.blockInduction
IC2:blockMachine:14, ic2.blockMatter
IC2:blockMachine:15, ic2.blockTerra
IC2:blockMachine2:0, ic2.blockTeleporter
IC2:blockMachine2:1, ic2.blockTesla
IC2:blockMachine2:2, ic2.blockCropmatron
IC2:blockMachine2:3, ic2.blockCentrifuge
IC2:blockMachine2:4, ic2.blockMetalFormer
IC2:blockMachine2:5, ic2.blockOreWashingPlant
IC2:blockMachine2:6, ic2.blockPatternStorage
IC2:blockMachine2:7, ic2.blockScanner
IC2:blockMachine2:8, ic2.blockReplicator
IC2:blockMachine2:9, ic2.blockSolidCanner
IC2:blockMachine2:10, ic2.blockFluidBottler
IC2:blockMachine2:11, ic2.blockAdvMiner
IC2:blockMachine2:12, ic2.blockLiquidHeatExchanger
IC2:blockMachine2:13, ic2.blockFermenter
IC2:blockMachine2:14, ic2.blockFluidRegulator
IC2:blockMachine2:15, ic2.blockCondenser
IC2:blockMachine3:0, ic2.blockSteamGenerator
IC2:blockMachine3:1, ic2.blockBlastFurnace
IC2:blockMachine3:2, ic2.blockBlockCutter
IC2:blockMachine3:3, ic2.blockSolarDestiller
IC2:blockMachine3:4, ic2.blockFluidDistributor
IC2:blockMachine3:5, ic2.blockSortingMachine
IC2:blockMachine3:6, ic2.blockItemBuffer
IC2:blockMachine3:7, ic2.blockCropHavester
IC2:blockMachine3:8, ic2.blockLathe
IC2:blockLuminatorDark, ic2.blockLuminatorDark.name
IC2:blockLuminator, ic2.blockLuminator.name
IC2:blockMiningPipe, ic2.blockMiningPipe.name
IC2:blockMiningTip, ic2.blockMiningTip.name
IC2:blockPersonal:0, ic2.blockPersonalChest
IC2:blockPersonal:1, ic2.blockPersonalTrader
IC2:blockPersonal:2, ic2.blockPersonalTraderEnergy
IC2:blockITNT, ic2.blockITNT.name
IC2:blockNuke, ic2.blockNuke.name
IC2:blockDynamite, ic2.blockDynamite.name
IC2:blockDynamiteRemote, ic2.blockDynamiteRemote.name
IC2:blockCrop, ic2.blockCrop.name
IC2:blockBarrel, ic2.blockBarrel.name
IC2:fluidUuMatter, ic2.fluidUuMatter.name
IC2:fluidConstructionFoam, ic2.fluidConstructionFoam.name
IC2:fluidCoolant, ic2.fluidCoolant.name
IC2:fluidHotCoolant, ic2.fluidHotCoolant.name
IC2:fluidPahoehoeLava, ic2.fluidPahoehoeLava.name
IC2:fluidBiomass, ic2.fluidBiomass.name
IC2:fluidBiogas, ic2.fluidBiogas.name
IC2:fluidDistilledWater, ic2.fluidDistilledWater.name
IC2:fluidSuperheatedSteam, ic2.fluidSuperheatedSteam.name
IC2:fluidSteam, ic2.fluidSteam.name
IC2:fluidHotWater, ic2.fluidHotWater.name
Forestry:core:0, Анализатор
Forestry:core:1, Секретер
Forestry:soil:0, Гумус
Forestry:soil:1, Болотная земля
Forestry:resources:0, Апатитовая руда
Forestry:resources:1, Медная руда
Forestry:resources:2, Оловянная руда
Forestry:resourceStorage:0, Апатитовый блок
Forestry:resourceStorage:1, Медный блок
Forestry:resourceStorage:2, Оловянный блок
Forestry:resourceStorage:3, Бронзовый блок
Forestry:fluid.bioethanol, Этанол
Forestry:fluid.biomass, Биомасса
Forestry:fluid.glass, Жидкое стекло
Forestry:fluid.honey, Мёд
Forestry:fluid.ice, Молотый лёд
Forestry:fluid.juice, Фруктовый сок
Forestry:fluid.milk, Молоко
Forestry:fluid.seedoil, Растительное масло
Forestry:fluid.short.mead, Питный мёд
Forestry:fluid.mead, Mead
Forestry:apiculture:0, Пасека
Forestry:apiculture:2, Пчелиный домик
Forestry:apicultureChest:0, Сундук пчеловода
Forestry:beehives:1, Лесной улей
Forestry:beehives:2, Луговой улей
Forestry:beehives:3, Пустынный улей
Forestry:beehives:4, Тропический улей
Forestry:beehives:6, Снежный улей
Forestry:beehives:7, Болотный улей
Forestry:candle:0, Тёмная свеча
Forestry:stump:0, Потухшая свеча
Forestry:alveary:0, Пчелиный улей
Forestry:alveary:2, Роевня
Forestry:alveary:3, Вентилятор улья
Forestry:alveary:4, Обогреватель улья
Forestry:alveary:5, Кондиционер улья
Forestry:alveary:6, Стабилизатор улья
Forestry:alveary:7, Сито улья
Forestry:logs:0, Древесина лиственницы
Forestry:logs:1, Древесина тикового дерева
Forestry:logs:2, Древесина акации
Forestry:logs:3, Древесина липы
Forestry:logs:4, Древесина каштана
Forestry:logs:5, Древесина дерева Венге
Forestry:logs:6, Древесина баобаба
Forestry:logs:7, Древесина секвойи
Forestry:logs:8, Древесина хлопкового дерева
Forestry:logs:9, Древесина мирта
Forestry:logs:10, Древесина красного дерева
Forestry:logs:11, Древесина бальзы
Forestry:logs:12, Древесина ивы
Forestry:logs:13, Древесина орехового дерева
Forestry:logs:14, Древесина гринхарта
Forestry:logs:15, Древесина вишнёвого дерева
Forestry:logs:16, Древесина гибискуса
Forestry:logs:17, Древесина тополя
Forestry:logs:18, Древесина пальмы
Forestry:logs:19, Древесина дынного дерева
Forestry:logs:20, Древесина сосны
Forestry:logs:21, Древесина сливового дерева
Forestry:logs:22, Древесина клёна
Forestry:logs:23, Древесина цитрусового дерева
Forestry:logs:24, Древесина гигантской секвойи
Forestry:logs:25, Древесина муравьиного дерева
Forestry:logs:26, Древесина падука
Forestry:logs:27, Древесина кокоболо
Forestry:logs:28, Древесина зебрано
Forestry:planks:0, Доски из лиственницы
Forestry:planks:1, Доски из тикового дерева
Forestry:planks:2, Доски из акации
Forestry:planks:3, Доски из липы
Forestry:planks:4, Доски из каштана
Forestry:planks:5, Доски из дерева Венге
Forestry:planks:6, Доски из баобаба
Forestry:planks:7, Доски из секвойи
Forestry:planks:8, Доски из хлопкового дерева
Forestry:planks:9, Доски из мирта
Forestry:planks:10, Доски из красного дерева
Forestry:planks:11, Доски из бальзы
Forestry:planks:12, Доски из ивы
Forestry:planks:13, Доски из орехового дерева
Forestry:planks:14, Доски из гринхарта
Forestry:planks:15, Доски из вишнёвого дерева
Forestry:planks:16, Доски из гибискуса
Forestry:planks:17, Доски из тополя
Forestry:planks:18, Доски из пальмы
Forestry:planks:19, Доски из дынного дерева
Forestry:planks:20, Доски из сосны
Forestry:planks:21, Доски из сливового дерева
Forestry:planks:22, Доски из клёна
Forestry:planks:23, Доски из цитрусового дерева
Forestry:planks:24, Доски из гигантской секвойи
Forestry:planks:25, Доски из муравьиного дерева
Forestry:planks:26, Доски из падука
Forestry:planks:27, Доски из кокоболо
Forestry:planks:28, Доски из зебрано
Forestry:slabs:0, Плита из лиственницы
Forestry:slabs:1, Плита из тикового дерева
Forestry:slabs:2, Плита из акации
Forestry:slabs:3, Плита из липы
Forestry:slabs:4, Плита из каштана
Forestry:slabs:5, Плита из дерева Венге
Forestry:slabs:6, Плита из баобаба
Forestry:slabs:7, Плита из секвойи
Forestry:slabs:8, Плита из хлопкового дерева
Forestry:slabs:9, Плита из мирта
Forestry:slabs:10, Плита из красного дерева
Forestry:slabs:11, Плита из бальзы
Forestry:slabs:12, Плита из ивы
Forestry:slabs:13, Плита из орехового дерева
Forestry:slabs:14, Плита из гринхарта
Forestry:slabs:15, Плита из вишнёвого дерева
Forestry:slabs:16, Плита из гибискуса
Forestry:slabs:17, Плита из тополя
Forestry:slabs:18, Плита из пальмы
Forestry:slabs:19, Плита из дынного дерева
Forestry:slabs:20, Плита из сосны
Forestry:slabs:21, Плита из сливового дерева
Forestry:slabs:22, Плита из клёна
Forestry:slabs:23, Плита из цитрусового дерева
Forestry:slabs:24, Плита из гигантской секвойи
Forestry:slabs:25, Плита из муравьиного дерева
Forestry:slabs:26, Плита из падука
Forestry:slabs:27, Плита из кокоболо
Forestry:slabs:28, Плита из зебрано
Forestry:fences:0, Забор из лиственницы
Forestry:fences:1, Забор из тикового дерева
Forestry:fences:2, Забор из акации
Forestry:fences:3, Забор из липы
Forestry:fences:4, Забор из каштана
Forestry:fences:5, Забор из дерева Венге
Forestry:fences:6, Забор из баобаба
Forestry:fences:7, Забор из секвойи
Forestry:fences:8, Забор из хлопкового дерева
Forestry:fences:9, Забор из мирта
Forestry:fences:10, Забор из красного дерева
Forestry:fences:11, Забор из бальзы
Forestry:fences:12, Забор из ивы
Forestry:fences:13, Забор из орехового дерева
Forestry:fences:14, Забор из гринхарта
Forestry:fences:15, Забор из вишнёвого дерева
Forestry:fences:16, Забор из гибискуса
Forestry:fences:17, Забор из тополя
Forestry:fences:18, Забор из пальмы
Forestry:fences:19, Забор из дынного дерева
Forestry:fences:20, Забор из сосны
Forestry:fences:21, Забор из сливового дерева
Forestry:fences:22, Забор из клёна
Forestry:fences:23, Забор из цитрусового дерева
Forestry:fences:24, Забор из гигантской секвойи
Forestry:fences:25, Забор из муравьиного дерева
Forestry:fences:26, Забор из падука
Forestry:fences:27, Забор из кокоболо
Forestry:fences:28, Забор из зебрано
Forestry:stairs:0, Ступеньки из лиственницы
Forestry:stairs:1, Ступеньки из тикового дерева
Forestry:stairs:2, Ступеньки из акации
Forestry:stairs:3, Ступеньки из липы
Forestry:stairs:4, Ступеньки из каштана
Forestry:stairs:5, Ступеньки из дерева Венге
Forestry:stairs:6, Ступеньки из баобаба
Forestry:stairs:7, Ступеньки из секвойи
Forestry:stairs:8, Ступеньки из хлопкового дерева
Forestry:stairs:9, Ступеньки из мирта
Forestry:stairs:10, Ступеньки из красного дерева
Forestry:stairs:11, Ступеньки из бальзы
Forestry:stairs:12, Ступеньки из ивы
Forestry:stairs:13, Ступеньки из орехового дерева
Forestry:stairs:14, Ступеньки из гринхарта
Forestry:stairs:15, Ступеньки из вишнёвого дерева
Forestry:stairs:16, Ступеньки из гибискуса
Forestry:stairs:17, Ступеньки из тополя
Forestry:stairs:18, Ступеньки из пальмы
Forestry:stairs:19, Ступеньки из дынного дерева
Forestry:stairs:20, Ступеньки из сосны
Forestry:stairs:21, Ступеньки из сливового дерева
Forestry:stairs:22, Ступеньки из клёна
Forestry:stairs:23, Ступеньки из цитрусового дерева
Forestry:stairs:24, Ступеньки из гигантской секвойи
Forestry:stairs:25, Ступеньки из муравьиного дерева
Forestry:stairs:26, Ступеньки из падука
Forestry:stairs:27, Ступеньки из кокоболо
Forestry:stairs:28, Ступеньки из зебрано
Forestry:logsFireproof:0, Древесина лиственницы (Огнестойкость)
Forestry:logsFireproof:1, Древесина тикового дерева (Огнестойкость)
Forestry:logsFireproof:2, Древесина акации (Огнестойкость)
Forestry:logsFireproof:3, Древесина липы (Огнестойкость)
Forestry:logsFireproof:4, Древесина каштана (Огнестойкость)
Forestry:logsFireproof:5, Древесина дерева Венге (Огнестойкость)
Forestry:logsFireproof:6, Древесина баобаба (Огнестойкость)
Forestry:logsFireproof:7, Древесина секвойи (Огнестойкость)
Forestry:logsFireproof:8, Древесина хлопкового дерева (Огнестойкость)
Forestry:logsFireproof:9, Древесина мирта (Огнестойкость)
Forestry:logsFireproof:10, Древесина красного дерева (Огнестойкость)
Forestry:logsFireproof:11, Древесина бальзы (Огнестойкость)
Forestry:logsFireproof:12, Древесина ивы (Огнестойкость)
Forestry:logsFireproof:13, Древесина орехового дерева (Огнестойкость)
Forestry:logsFireproof:14, Древесина гринхарта (Огнестойкость)
Forestry:logsFireproof:15, Древесина вишнёвого дерева (Огнестойкость)
Forestry:logsFireproof:16, Древесина гибискуса (Огнестойкость)
Forestry:logsFireproof:17, Древесина тополя (Огнестойкость)
Forestry:logsFireproof:18, Древесина пальмы (Огнестойкость)
Forestry:logsFireproof:19, Древесина дынного дерева (Огнестойкость)
Forestry:logsFireproof:20, Древесина сосны (Огнестойкость)
Forestry:logsFireproof:21, Древесина сливового дерева (Огнестойкость)
Forestry:logsFireproof:22, Древесина клёна (Огнестойкость)
Forestry:logsFireproof:23, Древесина цитрусового дерева (Огнестойкость)
Forestry:logsFireproof:24, Древесина гигантской секвойи (Огнестойкость)
Forestry:logsFireproof:25, Древесина муравьиного дерева (Огнестойкость)
Forestry:logsFireproof:26, Древесина падука (Огнестойкость)
Forestry:logsFireproof:27, Древесина кокоболо (Огнестойкость)
Forestry:logsFireproof:28, Древесина зебрано (Огнестойкость)
Forestry:planksFireproof:0, Доски из лиственницы (Огнестойкость)
Forestry:planksFireproof:1, Доски из тикового дерева (Огнестойкость)
Forestry:planksFireproof:2, Доски из акации (Огнестойкость)
Forestry:planksFireproof:3, Доски из липы (Огнестойкость)
Forestry:planksFireproof:4, Доски из каштана (Огнестойкость)
Forestry:planksFireproof:5, Доски из дерева Венге (Огнестойкость)
Forestry:planksFireproof:6, Доски из баобаба (Огнестойкость)
Forestry:planksFireproof:7, Доски из секвойи (Огнестойкость)
Forestry:planksFireproof:8, Доски из хлопкового дерева (Огнестойкость)
Forestry:planksFireproof:9, Доски из мирта (Огнестойкость)
Forestry:planksFireproof:10, Доски из красного дерева (Огнестойкость)
Forestry:planksFireproof:11, Доски из бальзы (Огнестойкость)
Forestry:planksFireproof:12, Доски из ивы (Огнестойкость)
Forestry:planksFireproof:13, Доски из орехового дерева (Огнестойкость)
Forestry:planksFireproof:14, Доски из гринхарта (Огнестойкость)
Forestry:planksFireproof:15, Доски из вишнёвого дерева (Огнестойкость)
Forestry:planksFireproof:16, Доски из гибискуса (Огнестойкость)
Forestry:planksFireproof:17, Доски из тополя (Огнестойкость)
Forestry:planksFireproof:18, Доски из пальмы (Огнестойкость)
Forestry:planksFireproof:19, Доски из дынного дерева (Огнестойкость)
Forestry:planksFireproof:20, Доски из сосны (Огнестойкость)
Forestry:planksFireproof:21, Доски из сливового дерева (Огнестойкость)
Forestry:planksFireproof:22, Доски из клёна (Огнестойкость)
Forestry:planksFireproof:23, Доски из цитрусового дерева (Огнестойкость)
Forestry:planksFireproof:24, Доски из гигантской секвойи (Огнестойкость)
Forestry:planksFireproof:25, Доски из муравьиного дерева (Огнестойкость)
Forestry:planksFireproof:26, Доски из падука (Огнестойкость)
Forestry:planksFireproof:27, Доски из кокоболо (Огнестойкость)
Forestry:planksFireproof:28, Доски из зебрано (Огнестойкость)
Forestry:slabsFireproof:0, Плита из лиственницы (Огнестойкость)
Forestry:slabsFireproof:1, Плита из тикового дерева (Огнестойкость)
Forestry:slabsFireproof:2, Плита из акации (Огнестойкость)
Forestry:slabsFireproof:3, Плита из липы (Огнестойкость)
Forestry:slabsFireproof:4, Плита из каштана (Огнестойкость)
Forestry:slabsFireproof:5, Плита из дерева Венге (Огнестойкость)
Forestry:slabsFireproof:6, Плита из баобаба (Огнестойкость)
Forestry:slabsFireproof:7, Плита из секвойи (Огнестойкость)
Forestry:slabsFireproof:8, Плита из хлопкового дерева (Огнестойкость)
Forestry:slabsFireproof:9, Плита из мирта (Огнестойкость)
Forestry:slabsFireproof:10, Плита из красного дерева (Огнестойкость)
Forestry:slabsFireproof:11, Плита из бальзы (Огнестойкость)
Forestry:slabsFireproof:12, Плита из ивы (Огнестойкость)
Forestry:slabsFireproof:13, Плита из орехового дерева (Огнестойкость)
Forestry:slabsFireproof:14, Плита из гринхарта (Огнестойкость)
Forestry:slabsFireproof:15, Плита из вишнёвого дерева (Огнестойкость)
Forestry:slabsFireproof:16, Плита из гибискуса (Огнестойкость)
Forestry:slabsFireproof:17, Плита из тополя (Огнестойкость)
Forestry:slabsFireproof:18, Плита из пальмы (Огнестойкость)
Forestry:slabsFireproof:19, Плита из дынного дерева (Огнестойкость)
Forestry:slabsFireproof:20, Плита из сосны (Огнестойкость)
Forestry:slabsFireproof:21, Плита из сливового дерева (Огнестойкость)
Forestry:slabsFireproof:22, Плита из клёна (Огнестойкость)
Forestry:slabsFireproof:23, Плита из цитрусового дерева (Огнестойкость)
Forestry:slabsFireproof:24, Плита из гигантской секвойи (Огнестойкость)
Forestry:slabsFireproof:25, Плита из муравьиного дерева (Огнестойкость)
Forestry:slabsFireproof:26, Плита из падука (Огнестойкость)
Forestry:slabsFireproof:27, Плита из кокоболо (Огнестойкость)
Forestry:slabsFireproof:28, Плита из зебрано (Огнестойкость)
Forestry:fencesFireproof:0, Забор из лиственницы (Огнестойкость)
Forestry:fencesFireproof:1, Забор из тикового дерева (Огнестойкость)
Forestry:fencesFireproof:2, Забор из акации (Огнестойкость)
Forestry:fencesFireproof:3, Забор из липы (Огнестойкость)
Forestry:fencesFireproof:4, Забор из каштана (Огнестойкость)
Forestry:fencesFireproof:5, Забор из дерева Венге (Огнестойкость)
Forestry:fencesFireproof:6, Забор из баобаба (Огнестойкость)
Forestry:fencesFireproof:7, Забор из секвойи (Огнестойкость)
Forestry:fencesFireproof:8, Забор из хлопкового дерева (Огнестойкость)
Forestry:fencesFireproof:9, Забор из мирта (Огнестойкость)
Forestry:fencesFireproof:10, Забор из красного дерева (Огнестойкость)
Forestry:fencesFireproof:11, Забор из бальзы (Огнестойкость)
Forestry:fencesFireproof:12, Забор из ивы (Огнестойкость)
Forestry:fencesFireproof:13, Забор из орехового дерева (Огнестойкость)
Forestry:fencesFireproof:14, Забор из гринхарта (Огнестойкость)
Forestry:fencesFireproof:15, Забор из вишнёвого дерева (Огнестойкость)
Forestry:fencesFireproof:16, Забор из гибискуса (Огнестойкость)
Forestry:fencesFireproof:17, Забор из тополя (Огнестойкость)
Forestry:fencesFireproof:18, Забор из пальмы (Огнестойкость)
Forestry:fencesFireproof:19, Забор из дынного дерева (Огнестойкость)
Forestry:fencesFireproof:20, Забор из сосны (Огнестойкость)
Forestry:fencesFireproof:21, Забор из сливового дерева (Огнестойкость)
Forestry:fencesFireproof:22, Забор из клёна (Огнестойкость)
Forestry:fencesFireproof:23, Забор из цитрусового дерева (Огнестойкость)
Forestry:fencesFireproof:24, Забор из гигантской секвойи (Огнестойкость)
Forestry:fencesFireproof:25, Забор из муравьиного дерева (Огнестойкость)
Forestry:fencesFireproof:26, Забор из падука (Огнестойкость)
Forestry:fencesFireproof:27, Забор из кокоболо (Огнестойкость)
Forestry:fencesFireproof:28, Забор из зебрано (Огнестойкость)
Forestry:stairsFireproof:0, Ступеньки из лиственницы (Огнестойкость)
Forestry:stairsFireproof:1, Ступеньки из тикового дерева (Огнестойкость)
Forestry:stairsFireproof:2, Ступеньки из акации (Огнестойкость)
Forestry:stairsFireproof:3, Ступеньки из липы (Огнестойкость)
Forestry:stairsFireproof:4, Ступеньки из каштана (Огнестойкость)
Forestry:stairsFireproof:5, Ступеньки из дерева Венге (Огнестойкость)
Forestry:stairsFireproof:6, Ступеньки из баобаба (Огнестойкость)
Forestry:stairsFireproof:7, Ступеньки из секвойи (Огнестойкость)
Forestry:stairsFireproof:8, Ступеньки из хлопкового дерева (Огнестойкость)
Forestry:stairsFireproof:9, Ступеньки из мирта (Огнестойкость)
Forestry:stairsFireproof:10, Ступеньки из красного дерева (Огнестойкость)
Forestry:stairsFireproof:11, Ступеньки из бальзы (Огнестойкость)
Forestry:stairsFireproof:12, Ступеньки из ивы (Огнестойкость)
Forestry:stairsFireproof:13, Ступеньки из орехового дерева (Огнестойкость)
Forestry:stairsFireproof:14, Ступеньки из гринхарта (Огнестойкость)
Forestry:stairsFireproof:15, Ступеньки из вишнёвого дерева (Огнестойкость)
Forestry:stairsFireproof:16, Ступеньки из гибискуса (Огнестойкость)
Forestry:stairsFireproof:17, Ступеньки из тополя (Огнестойкость)
Forestry:stairsFireproof:18, Ступеньки из пальмы (Огнестойкость)
Forestry:stairsFireproof:19, Ступеньки из дынного дерева (Огнестойкость)
Forestry:stairsFireproof:20, Ступеньки из сосны (Огнестойкость)
Forestry:stairsFireproof:21, Ступеньки из сливового дерева (Огнестойкость)
Forestry:stairsFireproof:22, Ступеньки из клёна (Огнестойкость)
Forestry:stairsFireproof:23, Ступеньки из цитрусового дерева (Огнестойкость)
Forestry:stairsFireproof:24, Ступеньки из гигантской секвойи (Огнестойкость)
Forestry:stairsFireproof:25, Ступеньки из муравьиного дерева (Огнестойкость)
Forestry:stairsFireproof:26, Ступеньки из падука (Огнестойкость)
Forestry:stairsFireproof:27, Ступеньки из кокоболо (Огнестойкость)
Forestry:stairsFireproof:28, Ступеньки из зебрано (Огнестойкость)
Forestry:saplingGE:0, Саженец
Forestry:pods:0, Стручок
Forestry:arboriculture:0, Сундук лесовода
Forestry:factory:0, Разливочный механизм
Forestry:factory:1, Плотник
Forestry:factory:2, Центрифуга
Forestry:factory:3, Бродильный аппарат
Forestry:factory:4, Увлажнитель
Forestry:factory:5, Соковыжималка
Forestry:factory:6, Дистиллятор
Forestry:factory:7, Вызыватель дождя
Forestry:factory2:0, Электроламповый завод
Forestry:factory2:1, Сборщик дождя
Forestry:factory2:2, Рабочий стол
Forestry:mushroom:0, Гриб
Forestry:mushroom:1, Гриб
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:lepidopterology:0, Сундук лепидоптеролога
CarpentersBlocks:blockCarpentersBlock, Блок плотника
CarpentersBlocks:blockCarpentersBarrier, Забор плотника
CarpentersBlocks:blockCarpentersBed, Кровать плотника
CarpentersBlocks:blockCarpentersButton, Кнопка плотника
CarpentersBlocks:blockCarpentersCollapsibleBlock, Складной блок плотника
CarpentersBlocks:blockCarpentersDaylightSensor, Датчик дневного света плотника
CarpentersBlocks:blockCarpentersDoor, Дверь плотника
CarpentersBlocks:blockCarpentersFlowerPot, Цветочный горшок плотника
CarpentersBlocks:blockCarpentersGarageDoor, Раздвижная дверь плотника
CarpentersBlocks:blockCarpentersGate, Калитка плотника
CarpentersBlocks:blockCarpentersHatch, Люк плотника
CarpentersBlocks:blockCarpentersLadder, Лестница плотника
CarpentersBlocks:blockCarpentersLever, Рычаг плотника
CarpentersBlocks:blockCarpentersPressurePlate, Нажимная пластина плотника
CarpentersBlocks:blockCarpentersSafe, Сейф плотника
CarpentersBlocks:blockCarpentersSlope:0, Прямой склон плотника
CarpentersBlocks:blockCarpentersSlope:1, Косой внутренний склон плотника
CarpentersBlocks:blockCarpentersSlope:2, Косой внешний склон плотника
CarpentersBlocks:blockCarpentersSlope:3, Призмовидный склон плотника
CarpentersBlocks:blockCarpentersSlope:4, Призмовидный плоский склон плотника
CarpentersBlocks:blockCarpentersStairs, Ступеньки плотника
CarpentersBlocks:blockCarpentersTorch, Факел плотника
Railcraft:fluid.creosote, Креозотовое масло
Railcraft:fluid.steam, Пар
Railcraft:cube:0, Блок коксового угля
Railcraft:cube:9, Медный блок
Railcraft:cube:10, Оловянный блок
Railcraft:cube:11, Свинцовый блок
Railcraft:cube:2, Стальной блок
Railcraft:cube:1, Бетонный блок
Railcraft:cube:8, Блок пропитанной креозотом древесины
